symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
VOLTAMP,Voltamp Transformers Limited,Capital Goods,Industrials,Electrical Equipment & Parts,10929.0,28.73,Power T&D Equipment,"Voltamp Transformers Limited manufactures and sells electrical transformers in India. It offers oil filled transformers, cast resin transformers, unitized sub-stations, induction furnace transformers, switchgears, compact sub stations, and ring main units. The company also provides various services related to transformers and electrical systems, including spares; asset management; diagnostic and c"
TARIL,Transformers And Rectifiers (India) Limited,Capital Goods,Industrials,Electrical Equipment & Parts,8352.0,28.44,Power T&D Equipment,"Transformers and Rectifiers (India) Limited, together with its subsidiaries, manufactures and sells transformers in India. The company provides power transformers, such as generator transformers, unit and station auxiliary transformers, small and medium power transformers, and trackside transformers for railways; and rectifier transformers, including 6 and 12/24 pulse transformers with IPT, as wel"
HEG,HEG Limited,Capital Goods,Industrials,Electrical Equipment & Parts,4795.0,69.37,,"HEG Advanced Materials Limited engages in the research and development of advanced battery materials, battery solutions. It manufactures custom machined components. The company also operates thermal power plants and a hydroelectric power facility. The company was formerly known as HEG Limited and change its name to HEG Advanced Materials Limited in September 2026. HEG Advanced Materials Limited wa"
OSWALPUMPS,Oswal Pumps Limited,Capital Goods,Industrials,Electrical Equipment & Parts,3149.0,8.31,,"Oswal Pumps Limited manufactures and sells solar pumps in India. The company offers solar-powered and grid-connected submersible and monoblock pumps, electric motors, and solar modules under the Oswal brand. It serves agricultural, residential, commercial, and industrial sectors. It also exports its products to Australia, Egypt, Iraq, Italy, Lebanon, Libya, Nepal, Saudi Arabia, the United Arab Emi"
SYRMA,Syrma SGS Technology Limited,Capital Goods,Technology,Electronic Components,33002.0,130.59,Electronics Manufacturing Services,"Syrma SGS Technology Limited operates as an electronics system design and manufacturing company in India, the United States, Germany, and internationally. The company offers electronic manufacturing services, such as PCBAs for industries and end applications; assemblies, including PCBAs, enclosures, wire harnesses, testing, and custom packing; EOL and functional testers based on customer specifica"
KAYNES,Kaynes Technology India Limited,Capital Goods,Technology,Electronic Components,24536.0,388.71,Electronics Manufacturing Services,"Kaynes Technology India Limited designs, manufactures, and sells electronic modules and solutions in India and internationally. It provides conceptual design, process engineering, integrated manufacturing, and life cycle support for various industries including automotive, industrial, aerospace and defence, outer-space, medical, railways, internet of things, information technology, and other indus"
AVALON,Avalon Technologies Limited,Capital Goods,Technology,Electronic Components,16626.0,81.33,Electronics Manufacturing Services,"Avalon Technologies Limited, together with its subsidiaries, provides integrated electronic manufacturing services in India, the United States, and internationally. Its capabilities include printed circuit board assemblies; custom cables and wire harness assemblies; magnetic assemblies; sheet metal fabrication and assemblies, as well as contract services; aerospace sheet metal fabrication; precisi"
KRN,KRN Heat Exchanger and Refrigeration Limited,Capital Goods,Technology,Electronic Components,9272.0,35.18,,"KRN Heat Exchanger and Refrigeration Limited manufactures and sells heating ventilation and air conditioning (HVAC) parts and accessories in India and internationally. It offers condenser, chilled water, evaporator, floating type, fluid and steam, heating, sea water, and Ss coils; charge air, combi oil, converter offline oil, oil, transformer oil, water coolers, and radiators; refrigerator compone"
WAAREERTL,Waaree Renewable Technologies Limited,Capital Goods,Industrials,Engineering & Construction,8495.0,7.88,,"Waaree Renewable Technologies Limited engages in the generation of power through renewable energy sources in India. The company offers ground mounted solar; capex model; resco opex; rooftop solar; floating solar; and operations and maintenance solutions. It also provides engineering, procurement, and construction (EPC) services. The company serves the individual, industrial, and commercial sectors"
AXISCADES,AXISCADES Technologies Limited,Capital Goods,Industrials,Engineering & Construction,7825.0,29.16,,"AXISCADES Technologies Limited operates as an engineering solutions company in Europe, the United States, the Asia Pacific, and Canada. It operates through Technology Services and Solutions, and Strategic technology solutions. The company offers product design and development, embedded electronics and avionics, manufacturing engineering services, systems engineering and integration, product lifecy"
