symbol,name,nse_sector,yahoo_sector,yahoo_industry,mcap_cr,median_traded_value_cr,current_micro_sectors,summary
AYE,Aye Finance Limited,,Financial Services,Credit Services,4618.0,20.54,,"Aye Finance Limited, a non-banking financial company, provides loans to micro, small, and medium enterprises in India. The company offers a range of business loans for working capital and business expansion needs against hypothecation of working assets or against security of property to customers across manufacturing, trading, service, and allied agriculture sectors. It also provides secured and u"
INDOSTAR,IndoStar Capital Finance Limited,,Financial Services,Credit Services,3807.0,2.38,,"IndoStar Capital Finance Limited, a non-banking financial company, provides various financing services in India. The company offers vehicle finance products for new and used commercial vehicles, including medium and heavy commercial vehicles, light commercial vehicles, intermediate commercial vehicles, small commercial vehicles, pick-ups, and buses; new and used passenger vehicles; new and used co"
MUTHOOTMF,Muthoot Microfin Limited,,Financial Services,Credit Services,3167.0,4.43,,"Muthoot Microfin Limited, a non-deposit taking non-banking financial company, provides micro loans to women entrepreneurs in rural regions of India. The company offers income generating, Pragathi, Suvidha, and individual loans; education, mobile phones, solar lighting product, and household appliances product loans; sanitation improvement loans; and secured loans. It also provides value-added serv"
FUSION,Fusion Finance Limited,,Financial Services,Credit Services,2986.0,9.63,,"Fusion Finance Limited, a non-banking financial company, provides micro finance and MSME lending services in India. The company offers income generation, top up, emergency, and cross sell loans; secured loans; and life insurance products. It provides its services underserved and unserved women in rural and semi-rural areas. The company was formerly known as Fusion Micro Finance Limited and changed"
MUFIN,Mufin Green Finance Limited,,Financial Services,Credit Services,2619.0,6.48,,"Mufin Green Finance Limited, a non-banking financial company, provides financing and investing services in India. The company offers Mediclaim insurance premium financing, salary-linked loans to government employees, electric vehicles and solar ecosystem financing, and loans to corporates and MSMEs. It also provides operating or financial lease services to fleet operators for vehicles, including t"
SATIN,Satin Creditcare Network Limited,,Financial Services,Credit Services,2432.0,3.94,,"Satin Creditcare Network Limited, a non-banking finance company, provides micro finance services in India. The company offers microcredit to economically active women in rural, semi-urban, and urban regions; loans for income generating purposes, such as agriculture, transportation, trading, and production related business activities; water and sanitation loans; loans for clean energy and various b"
ARMANFIN,Arman Financial Services Limited,,Financial Services,Credit Services,2073.0,4.63,,"Arman Financial Services Limited, together with its subsidiary, operates as a non-banking finance company in India. The company offers micro, small, and medium enterprise loans; two wheeler loans; and micro finance loans as well as individual business loans and loan against property. The company was formerly known as Arman Lease and Finance Limited and changed its name to Arman Financial Services"
SPANDANA,Spandana Sphoorty Financial Limited,,Financial Services,Credit Services,2027.0,2.09,,"Spandana Sphoorty Financial Limited engages in the microfinance business in India. The company provides joint liability group based microfinance for women entrepreneurs; loans against the property; and individual loans. It serves low-income customers in semi-urban and rural areas. Spandana Sphoorty Financial Limited was founded in 1998 and is based in Hyderabad, India."
PFS,PTC India Financial Services Limited,,Financial Services,Credit Services,1717.0,1.23,,"PTC India Financial Services Limited, a non-banking finance company, provides project financing services for entire energy value chain through investment and lending into power generation, transmission and distribution, and fuel sources and related infrastructure projects; offers debt assistance to projects; long and short term loans; advisory services; and equity investment services for green and"
UGROCAP,Ugro Capital Limited,,Financial Services,Credit Services,1258.0,1.38,,"UGRO Capital Limited, a non-banking financial company, engages in the lending business in India. The company offers business loans to healthcare, education, chemicals, food processing/FMCG, hospitality, electrical equipment and components, auto components, textile, micro enterprises, and light engineering sectors. It also provides lending services for enterprise mortgages, school funding programs,"
FEDDERSHOL,Fedders Holding Limited,,Financial Services,Credit Services,1239.0,6.7,,"Fedders Holding Limited operates as a corporate and transaction advisory company in the real estate and distress debt resolution advisory sectors in India and internationally. The company offers corporate transactional advisory services, which include commercial viability, regulatory clearances, technical requirements, business strategies advisory, transaction services, commercial leasing, workspa"
LAXMIINDIA,Laxmi India Finance Limited,,Financial Services,Credit Services,657.0,2.24,,"Laxmi India Finance Limited, a non-banking finance company, provides financial products and services to individuals, businesses, and institutions in India. It offers MSME, wholesale, business, personal, term, and residential construction loans, and other credit solutions, as well as vehicle loans including two-wheeler, tractors, used cars, commercial vehicles, and electric vehicle loans. The compa"
CSLFINANCE,CSL Finance Limited,,Financial Services,Credit Services,496.0,1.2,,"CSL Finance Limited, a non-banking financial company, provides SME and wholesale loaning businesses in India. The company offers structured finance for real estate developers, such as loans against property and securities; loans for small builders, including construction finance, refinance and inventory funding, and partner with developers; corporate loans, which include construction linked disbur"
MANCREDIT,Mangal Credit and Fincorp Limited,,Financial Services,Credit Services,479.0,2.94,,"Mangal Credit and Fincorp Limited operates as a non-banking financial company in India. The company offers small and medium enterprises, gold, and personal loans, as well as loan against property; and credit services. The company was formerly known as Tak Machinery & Leasing Limited and changed its name to Mangal Credit and Fincorp Limited in June 2013. Mangal Credit and Fincorp Limited was incorp"
IITL,Industrial Investment Trust Limited,,Financial Services,Credit Services,299.0,1.53,,"Industrial Investment Trust Limited, a non-banking financial company, engages in the investment activities in India. It invests in equity shares, mutual funds, fixed deposits, and treasury bills. The company also provides loan against property and securities; lease rental discounting; and corporate loans. In addition, it engages in the real estate activities and construction of residential complex"
ASHIKAG,Ashika Global Securities Limited,,Financial Services,Credit Services,,1.5,,"Ashika Global Securities Limited provides investment and lending solutions in India. It provides loans and advances, loans against securities, inter-corporate deposits, and investment in shares and securities. The company also offers retail broking; lending; investment banking; global family office services; alternative investment funds; research advisory; institutional broking; private equity ser"
SHOPERSTOP,Shoppers Stop Limited,,Consumer Cyclical,Department Stores,4353.0,1.37,,"Shoppers Stop Limited engages in the retailing of household and consumer products through departmental stores under the Shoppers Stop brand in India. The company offers women's Indian wear for weddings, festivals, and occasions under the Kashish brand; festive and ceremonial ethnic wear for men under the Bandeya brand; Smart casual products under the Fratini brands; family fashion products under t"
PATELRMART,Patel Retail Limited,,Consumer Cyclical,Department Stores,679.0,1.36,,"Patel Retail Limited operates a chain of retail supermarkets in India. It also manufactures and sells whole spices and grounded spices, wheat flour, and refined wheat flour under the Indian Chaska brand name; and home improving products, such as detergents, phenyl, dish wash liquids, mops, plastic buckets, etc. under the Patel Essential brand name; ready-to-cook instant mixes under the Patel Fresh"
VIMTALABS,Vimta Labs Limited,,Healthcare,Diagnostics & Research,2754.0,8.84,,"Vimta Labs Limited provides contract research and testing services in India and internationally. The company offers drug discovery, development, and drug life cycle management support services in the areas of preclinical research, clinical research, and analytical services for biopharmaceutical companies; preclinical research and testing services for medical device companies; and contract research"
SURAKSHA,Suraksha Diagnostic Limited,,Healthcare,Diagnostics & Research,1818.0,3.35,,"Suraksha Diagnostic Limited provides pathological and radiological services through diagnostic centers in India. It offers home collection services; pathology services, such as microbiology, serology, molecular biology, histopathology, cytopathology, clinical pathology, haematology, clinical biochemistry and immunology, immunohistochemistry, fluorescence in-situ hybridization, cytogenetics, flow c"
KRSNAA,Krsnaa Diagnostics Limited,,Healthcare,Diagnostics & Research,1799.0,2.37,Diagnostics,"Krsnaa Diagnostics Limited provides diagnostic services in India. It offers mammography, stress tests, dual-energy X-ray absorptiometry scans, bone mineral density tests, computed tomography scans, and magnetic resonance imaging services, as well as tele-radiology and tele-pathology services. The company was incorporated in 2010 and is based in Pune, India."
SANOFI,Sanofi India Limited,,Healthcare,Drug Manufacturers - General,7087.0,4.81,Pharma - Domestic Formulations,"Sanofi India Limited manufactures and trades in drugs and pharmaceutical products in India, Singapore and internationally. The company offers pharmaceutical products in various therapeutic areas, such as diabetes, cardiology, anti-infectives, and central nervous system under the Lantus, Toujeo, Soliqua, Clexane, Amaryl, Cardace, Lasix, Lasilactone, Glimepiride, Cetapin, Targocid, Frisium, Targocio"
SENORES,Senores Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - General,6425.0,27.41,,"Senores Pharmaceuticals Limited develops, manufactures, sells, and trades in pharmaceutical and allied products in India, the United States, the United Kingdom, Canada, and internationally. It offers pharmaceutical solutions, such as analgesic/antipyretic, anesthetics and allied products, antibacterial/antibiotic, antiviral, antifungal, antioxidants, antineoplastic, blood line, cardiovascular, neu"
SMSPHARMA,SMS Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - General,4369.0,19.95,Active Pharma Ingredients,"SMS Pharmaceuticals Limited manufactures and sells active pharmaceutical ingredients (APIs) and its intermediates in India and internationally. It offers anti-retroviral, anti-inflammatory, anti-viral, anti-diabetic, anti-fungal, anti-epileptic, anti-migraine, anti-coagulant, anti-psychotic, anti-aginal, and anti-ulcer products. It is also involved in contract research activities on peptides. The"
SAIPARENT,Sai Parenterals Limited,,Healthcare,Drug Manufacturers - General,2257.0,3.28,,"Sai Parenteral's Limited, a pharmaceutical formulations company, engages in the branded generic formulations and contract development and manufacturing businesses in India and internationally. Its portfolio includes formulation products across various therapeutic areas, such as cardiovascular, neuropsychiatry, anti-diabetic, respiratory health, antibiotics, gastroenterology, vitamins, minerals and"
NGLFINE,NGL Fine-Chem Limited,,Healthcare,Drug Manufacturers - General,1688.0,2.18,,"NGL Fine-Chem Limited develops and manufactures veterinary APIs, human APIs, intermediates, and finished dosage forms in India, Europe, the Asia Pacific, the United States, and internationally. The company offers afoxolaner, amitraz, atovaquone, buparvaquone, butaphosphan, carprofen, clorsulon, closantel base, closantel sodium, decoquinate, diminazene diaceturate, febantel, fenbendazole, fluazuron"
TTKHLTCARE,TTK Healthcare Limited,,Healthcare,Drug Manufacturers - General,1517.0,3.4,,"TTK Healthcare Limited engages in the animal welfare, consumer product, medical device, protective device, food, and other businesses in India. It operates through Animal Welfare, Consumer Products, Medical Devices, Foods, Protective Devices and Other segments. The Animal Welfare segment offers various feed supplements, liver correctives, fertility inducers, antibiotics, antiparasiticides, antispa"
KOPRAN,Kopran Limited,,Healthcare,Drug Manufacturers - General,1368.0,12.88,,"Kopran Limited, an integrated pharmaceutical company, engages in the development, manufacture and marketing of active pharmaceutical ingredients and finished dosage forms in India and internationally. The company offers its products in various dosage forms, including tablets, capsules, syrups, dry powder, suspension, and injectables, as well as branded and generic formulations. It also provides dr"
SYMBIOTEC,Symbiotec Pharmalab Limited,,Healthcare,Drug Manufacturers - General,,156.71,,"Symbiotec Pharma Lab Pvt. Ltd. develops, manufactures, and markets active pharmaceutical ingredients (APIs), with a primary focus on cortico-steroids and steroid-hormone APIs in both sterile and non-sterile forms. The company synthesizes progestin, estrone, testosterone, their derivatives, and anabolic steroids, supplying these in commercial volumes globally. It offers APIs and intermediate pharma"
ASTRAZEN,AstraZeneca Pharma India Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,16625.0,3.21,,"AstraZeneca Pharma India Limited, a biopharmaceutical company, manufactures, markets, and trades in pharmaceutical products in India and internationally. It provides medicines for cancers, including pancreatic cancer, certain blood cancers, and cancers within breast, lung, ovary, and prostate; rare diseases; and cardiovascular, renal and metabolism, and respiratory and immunology, as well as diabe"
SUVEN,Suven Life Sciences Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,9548.0,19.64,,"Suven Life Sciences Limited, a clinical-stage biopharmaceutical company, develops novel therapeutics for central nervous system disorders and unmet needs in mental health in India, the United States, Europe, and internationally. It engages in the development of Masupirdine (SUVN-502), a 5-HT6 receptor antagonist for the treatment of cognitive and neuropsychiatric symptoms of Alzheimer's disease; a"
PGHL,Procter & Gamble Health Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,9135.0,4.74,,"Procter & Gamble Health Limited manufactures and markets pharmaceutical and chemical products in India and internationally. It offers over-the-counter products, vitamins, minerals, and supplements under the Betamil, Polybion, Cosome, Evion, Neurobion, Seven Seas, Nasivion, and Livogen brand names. The company was formerly known as Merck Limited and changed its name to Procter & Gamble Health Limit"
BLISSGVS,Bliss GVS Pharma Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,7034.0,16.78,,"Bliss GVS Pharma Limited engages in the development, manufacturing and marketing of pharmaceutical formulations in India and internationally. The company offers anti-diabetic, anti-infective, anti-inflammatory, antifungal, antihemorrhoidal, antimalarial, antiseptic, cardiovascular, dermatological, gastrointestinal, gynaecology, neoro/cns, ophthalmic, otc drugs, respiratory, urology, and supplement"
INNOVACAP,Innova Captab Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,6857.0,8.92,,"Innova Captab Limited, an integrated pharmaceutical company, engages in the research and development, manufacture, distribution, and marketing of drugs and pharmaceutical products in India and internationally. The company provides contract development and manufacturing organization services to Indian pharmaceutical companies. It is also offers various generic formulation products, including cephal"
MOREPENLAB,Morepen Laboratories Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,6704.0,210.34,,"Morepen Laboratories Limited develops, manufactures, markets, and sells active pharmaceutical ingredients (APIs), branded and generic formulations, and home health products in India, the United States, and internationally. The company offers APIs for anti-histaminic, anti-asthmatic, anti-lipemic, anti-hypertensive, anti-diabetic, anti-coagulant, anti-ulcerative, and anti-depressant drugs; and home"
IOLCP,IOL Chemicals and Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,5956.0,90.8,Active Pharma Ingredients,"IOL Chemicals and Pharmaceuticals Limited manufactures and sells pharmaceutical and chemical products in India and internationally. It operates through two segments: Pharmaceuticals and Specialty Chemicals. The Chemical segment offers ethyl acetate, iso butyl benzene, acetyl chloride, mono chloro acetic acid, and acetic anhydride to the food processing, flexible packaging, pharmaceuticals, textile"
FDC,FDC Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,5900.0,4.57,Pharma - Domestic Formulations,"FDC Limited, together with its subsidiaries, manufactures and trades in pharmaceutical products in India, the United States, and internationally. The company offers pharmaceutical formulations for various therapeutic segments, including anti-infectives, gastroenterology, ophthalmology, anti-diabetics, cardiovascular care, respiratory care, gynaecology, dermatology, paediatrics, analgesics, vitamin"
ORCHPHARMA,Orchid Pharma Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,5487.0,5.91,,"Orchid Pharma Limited, a pharmaceutical company, engages in the development, manufacture, and marketing of active pharmaceutical ingredients, bulk actives, finished dosage formulations, and nutraceuticals in India. Its active pharmaceutical ingredients product portfolio includes oral cephalosporins, injectable cephalosporins; human and veterinary products; and antibiotics, including beta-lactam. I"
GUJTHEM,Gujarat Themis Biosyn Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,5384.0,28.43,,"Gujarat Themis Biosyn Limited engages in the manufacture of pharmaceuticals, medicinal chemicals, and active pharmaceutical ingredients in India and internationally. The company offers bulk drugs on job work basis in India. Its products include Rifamycin-S, an intermediate for the treatment of tuberculosis, Mycobacterium avium complex, leprosy, and Legionnaires' disease; Rifamycin-O, an antibiotic"
NOVARTIND,Novartis India Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,4948.0,6.1,,"Novartis India Limited is involved in the pharmaceutical business in India. The company offers therapeutic products in the areas of bone and pain products under the Voveran brand; transplantation immunology products under the Simulect, Certican, Sandimmun, Neoral, and Myfortic brands. It also offers neuroscience products under the Tegrital and Exelon brands. Novartis India Limited was incorporated"
RPGLIFE,RPG Life Sciences Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,4565.0,3.88,,"RPG Life Sciences Limited, an integrated pharmaceutical company, develops, manufactures, and markets branded formulations, generic, and synthetic active pharmaceutical ingredients (APIs) in India and internationally. The company offers synthetic APIs in various therapeutic categories, including immunosuppressants, anti-psychotic, anti-anginal, anthelmintics, anti-convulsant, anti-spasmodic, etc. I"
GUFICBIO,Gufic Biosciences Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,4369.0,3.18,,"Gufic Biosciences Limited manufactures and markets active pharmaceutical ingredients (APIs), generic pharmaceuticals, and related services in India, Africa, Asia, Europe, Australia, North America, and South America. The company manufactures APIs and bulk drugs, such as antifungals, anaethetics, immuno suppressants, anginotensin receptor blocker, and intermediates for antifungals. It also manufactu"
UNICHEMLAB,Unichem Laboratories Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,3806.0,4.19,,"Unichem Laboratories Limited, a pharmaceutical company, manufactures and sells pharmaceutical products in Asia, Europe, Africa, CIS, the United States, and internationally. The company offers formulation products that address various therapeutic areas, such as gastroenterology, cardiology, diabetology, psychiatry, neurology, anti-bacterial, anti-infective, and pain management. It also offers activ"
SOLARA,Solara Active Pharma Sciences Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,3634.0,31.4,Active Pharma Ingredients,"Solara Active Pharma Sciences Limited manufactures, produces, processes, formulates, sells, imports, exports, merchandises, distributes, trades in, and deals in active pharmaceutical ingredients (API) in India, Asia Pacific, Europe, North America, South America, and internationally. It offers APIs for amyotrophic lateral sclerosis, anesthetics, anthelmintic, anti hyperlipidemic, anti-arrhythmic ag"
INDSWFTLAB,Ind-Swift Laboratories Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,3299.0,22.9,,"Ind-Swift Laboratories Limited, together with its subsidiaries, develops, manufactures, and sells active pharmaceutical ingredients (APIs), intermediates, and formulations in India and internationally. The company offers APIs in various therapeutic areas, including macrolide antibiotic, cardiovascular, antihistaminic, antidiabetic, antipsychotic, bone resorption inhibitor, Parkinson's disease, hyp"
HIKAL,Hikal Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,2825.0,13.65,,"Hikal Limited, together with its subsidiaries, manufactures and sells various chemical intermediates, specialty chemicals, and active pharma ingredients to pharmaceutical, biotechnology, life sciences, animal health, crop protection, and specialty chemicals indusries. It operates through two segments, Pharmaceuticals and Crop Protection. The company also manufactures pesticides and herbicides, whi"
SAKAR,Sakar Healthcare Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,2543.0,13.45,,"Sakar Healthcare Limited research, develops, manufactures, and sells pharmaceutical products in India. The company offers general and oncology products in various forms, such as liquid orals, cephalosporin tablets, capsules, dry powder syrups and injections, liquid injectable (SVP) in ampoules, vials and lyophilized injections, and oral solid dosages. It also exports its products to Southeast Asia"
SHUKRAPHAR,Shukra Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,2439.0,10.83,,"Shukra Pharmaceuticals Limited engages in the manufacturing, marketing, and export of pharmaceutical formulations in India and internationally. The company offers various products, such as antibiotics, anti biotics, macrolides, quinolones, anti bacterial, anti fungal, anti malarial, anti viral, anti protozoal, anti anthelmintic, sedative and tranquilliser, anti depressant, anti manic, anti emetic,"
INDOCO,Indoco Remedies Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,2374.0,6.86,Pharma - Domestic Formulations,"Indoco Remedies Limited manufactures and markets formulations and active pharmaceutical ingredients in India and internationally. It offers products for gastrointestinal, anti-infectives, respiratory, stomatological, vitamins/minerals/nutrients, urological, ophthal/ontological, dermatology, pain/analgesic, cardiac, anti-diabetic, and gynaecological therapeutic areas. The company also provides bran"
WINDLAS,Windlas Biotech Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,2331.0,10.69,,"Windlas Biotech Limited, a contract development and manufacturing organization, manufactures and trades in pharmaceutical products in India. The company offers contract manufacturing; customized formulations; contract research and manufacturing services; customized formulation; and regulatory services. It also manufactures tablets, capsules, oral solids, modified-release formulations, chewable and"
FREDUN,Fredun Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,2266.0,4.19,,"Fredun Pharmaceuticals Limited manufactures and sells pharmaceutical formulations, dietary/herbal supplements, nutraceuticals, animal healthcare products, cosmeceuticals, mobility and rehabilitation products, and other healthcare products in India, Africa, Southeast Asia, Commonwealth of Independent States countries, MENA region, and Latin America. The company offers allopathic formulations, inclu"
VENUSREM,Venus Remedies Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,2132.0,4.21,,"Venus Remedies Limited engages in the pharmaceutical business in India, Latin America, Europe, the Middle East, Africa, Asia, and internationally. The company is involved in the research and development of solutions focusing on antimicrobial resistance, oncology, skin and wound care, and pain management. It also provides analgesic, analgesic and antipyretic, antibiotic, antidiabetic anticoagulant,"
BETA,Beta Drugs Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,2094.0,3.26,,"Beta Drugs Limited develops, manufactures, and sells anti-cancer bulk drugs and finished dosages in India. The company offers cosmeceutical and oncology products. It also manufactures active pharmaceutical ingredients (API) and pharmaceutical formulation intermediates (PFI). The company exports its products. Beta Drugs Limited was founded in 1985 and is based in Panchkula, India."
SYNCOMF,Syncom Formulations (India) Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1866.0,20.58,,"Syncom Formulations (India) Limited manufactures, markets, and sells pharmaceutical formulation products in India and internationally. It operates through Manufacturing and Dealing in Pharmaceutical Drug and Formulations, Trading of Commodities, and Renting of Properties segments. The company offers antibiotics/antiinfectives, anthelmintics, antimalarial, cardiac, derma, gastro, dry syrups and sus"
HESTERBIO,Hester Biosciences Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1862.0,1.01,,"Hester Biosciences Limited manufactures and trades in veterinary vaccines and health products in India and internationally. It operates through two segments, Poultry Healthcare and Animal Healthcare. The company provides poultry vaccines for newcastle disease, infectious bronchitis, infectious bursal, fowl pox, marek's disease, infectious coryza, fowl cholera, inclusion body hepatitis, fowl typhoi"
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1496.0,1.42,,"Jagsonpal Pharmaceuticals Limited engages in the manufacturing, selling, and trading of pharmaceutical products and active pharmaceutical ingredients in India and internationally. It offers pharmaceutical formulations and products in the areas of gynaecology, orthopaedics, dermatology, and paediatrics. The company provides drugs in the form of tablets, softgels, injections, capsules, and syrups. J"
AMRUTANJAN,Amrutanjan Health Care Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1434.0,2.67,,"Amrutanjan Health Care Limited manufactures, supplies, and sells ayurvedic pain balms and women hygiene products in India and internationally. It operates through OTC Products, Beverages, Women's Hygiene & Personal Care, and Others segments. The company provides pain management products comprising pain balms and roll-ons, back pain roll-ons, stick-on patch, and joint muscle sprays; dental pain gel"
AHCL,Anlon Healthcare Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1395.0,10.55,,"Anlon Healthcare Limited manufactures and sells active pharmaceutical ingredients in India and internationally. The company also offers bulk drugs; advanced pharmaceutical intermediates; nutraceutical API products; and drug intermediates. It also manufactures loxoprofen sodium dihydrate, ketoprofen, and dexketoprofen trometamol products for pain management and anti-inflammatory therapies. Anlon He"
FERMENTA,Fermenta Biotech Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1360.0,4.3,,"Fermenta Biotech Limited, together with its subsidiaries, engages in the manufacturing and marketing of chemicals, bulk drugs, enzymes, pharmaceutical formulations, and environmental solution products in India, Europe, the United States, and internationally. It operates through Chemicals/Bulk Drug and Property segments. The company offers vitamin D3, including crystalline oil, resin oil, cold wate"
LINCOLN,Lincoln Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1205.0,1.83,,"Lincoln Pharmaceuticals Limited engages in manufacturing and trading of pharmaceutical products in India and internationally. The company offers products in the areas of anticold, antibiotic, otolaryngology, pain management, gastro, anti-malarial, anti-fungal, corticosteroids and cosmo-derma, anti-diabetic, anti-hypertensive, anti-infective, anti-bacterial, gynecology, cardio and CNS, respiratory"
SIGACHI,Sigachi Industries Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1190.0,16.79,,"Sigachi Industries Limited manufactures and sells microcrystalline cellulose and cellulose powder in India. The company provides cellulose-based products under the HiCel, AceCel, CoatCel, GloCel, and BARETab brand names to pharmaceutical, nutraceutical, cosmetic, and chemical industries. It also provides croscarmellose sodium, pharmaceutical coatings, nutritional premix and food solutions, and all"
THEMISMED,Themis Medicare Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1151.0,1.59,,"Themis Medicare Limited, together with its subsidiaries, manufactures and sells pharmaceutical products in India and internationally. It provides active pharmaceutical ingredients (APIs) and formulations used in various therapeutic areas, including analgesic and anti-inflammatory, analgesic and antispasmodic, analgesics, anesthesia, antacid-antiflatulent, anti-fungal, antibiotic, anti-diabetic, an"
BAJAJHCARE,Bajaj Healthcare Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,1130.0,2.92,,"Bajaj HealthCare Limited, a pharmaceutical company, develops, manufactures, markets, and sells active pharmaceutical ingredient, intermediates, and finished dosage forms and nutraceuticals for pharmaceutical, nutraceuticals, and food industries in India and internationally. The company offers active pharmaceutical ingredient in various therapeutic categories, including anthelmintic, anti viral, an"
ANUHPHR,Anuh Pharma Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,939.0,1.22,,"Anuh Pharma Limited engages in the manufacture and sale of bulk drugs and chemicals in India. It offers active pharmaceutical ingredients, including macrolides, anti-TB, anti-malarial, anti-hypertension, expectorant, anti-diabetics, anti-bacterial, anti-gout, anti asthmatics, quinolones, anti biotic, anti platelet, anti-histamines, and intermediates; and corticosteroids, including anti-inflammator"
SGRL,Shree Ganesh Remedies Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,925.0,1.04,,"Shree Ganesh Remedies Limited engages in the manufacture and sale of pharmaceutical drug intermediates for active pharmaceutical ingredient (API) and fine chemicals in India and internationally. The company offers anti-arrhythmic, anti-cancer, anti-depressant, anti-diabetic, anti-diarrheal, antifungal, antihistamine, anti-inflammatory, anti-parasitic, anti-psychotic, anticholinergic, birth-control"
WANBURY,Wanbury Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,796.0,2.55,,"Wanbury Limited manufactures and sells formulations and active pharmaceutical ingredients (API) in India and internationally. It offers formulations for anti-infectives, pain and analgesics, gastroenterology, rheumatology, respiratory, gynecology, and central nervous system, as well as for vitamins, minerals, and nutrition. The company also provides API products for antidiabetics, antidepressants,"
ZIMLAB,Zim Laboratories Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,716.0,1.4,,"ZIM Laboratories Limited engages in the development, manufacture, and supply of generic pharmaceutical and nutraceutical products in India and internationally. It provides its products in pre- formulation intermediates and finished formulations in the oral solid dosage forms, such as pellets, taste-masked powders, directly compressible granules, tablets, capsules, dry syrup, and oral thin films. T"
VALIANTLAB,Valiant Laboratories Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,690.0,1.81,,"Valiant Laboratories Limited operates as an active pharmaceutical ingredient/bulk drug manufacturing company in India and internationally. The company manufactures paracetamol in various grades, such as Indian/British/European/the United States pharmacopoeias for the treatment of headaches, muscle aches, arthritis, back aches, toothaches, cold, and fever. It also offers specialty chemicals. The co"
MEDICAMEQ,Medicamen Biotech Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,432.0,2.42,,"Medicamen Biotech Limited, a pharmaceutical company, research, develops, manufactures, markets, sells, and distributes pharmaceutical formulations in India and internationally. The company offers drugs in various forms, including tablet, capsule, syrups, oral solution, and drops. Its products are used in therapeutic areas comprising cancer care, cardiology, CNS, diabetology, anti-infective, anti-m"
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,341.0,1.73,,"Aarey Drugs & Pharmaceuticals Limited manufactures and sells active pharmaceutical ingredients, intermediates, and specialty chemicals for various industrial applications in India. The company offers intermediates, including mono methyl urea, di methyl urea, ortho para nitro anisole, 2-bromomethyl-1,3-dioxolane, and uracil. It also provides active pharmaceutical ingredients, such as metformin HCl,"
KPL,Kwality Pharmaceuticals Limited,,Healthcare,Drug Manufacturers - Specialty & Generic,,11.31,,"Kwality Pharmaceuticals Limited, together with its subsidiary, manufactures finished pharmaceutical formulations in India and internationally. The company offers its products in various dosage forms, including capsules, eye and ear drops, ointments and creams, pouches and sachets, sanitizers, tablets, suppositories, injectable vials and ampoules, liquid orals, lyophilized products, syrups, and var"
SEIL,Shanti Educational Initiatives Limited,,Consumer Defensive,Education & Training Services,2975.0,4.98,,"Shanti Educational Initiatives Limited provides educational services in India. The company engages in educational projects for K-12 schools, pre-schools, and higher studies. It also provides consultancy for affiliation formalities; project planning and execution; school infrastructure design; academic programs and delivery; human resources; teacher's empowerment; manuals & SOP's; marketing and pro"
